Run ID,Start Time,End Time,Duration,Status,Comments,Job Type,Details,Info dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logs_BSA_2024_03_13_16_39_43_666933,2024-03-13 16:39:43:666933,2024-03-13 16:39:47:638326,0:0:3:971:393,Success,Job completed successfully,Databricks,Logging for BSA,"{'Status': 'BSA Pass', 'Payload_Data': {'source_system': 'Perfios', 'doc_id': 'dfe205a6834dcd9fa41beb8ea460335e_PLSA0009E1EC', 'processed_s3_filepath': 'Perfios/Processed/dfe205a6834dcd9fa41beb8ea460335e_PLSA0009E1EC/dfe205a6834dcd9fa41beb8ea460335e_PLSA0009E1EC_20240313110943376275_ldtmQ3cc03.json', 'success_s3_filepath': 'Perfios/Success/dfe205a6834dcd9fa41beb8ea460335e_PLSA0009E1EC/dfe205a6834dcd9fa41beb8ea460335e_PLSA0009E1EC_20240313110943376275_ldtmQ3cc03.json', 'failure_s3_filepath': 'Perfios/Failure/dfe205a6834dcd9fa41beb8ea460335e_PLSA0009E1EC/dfe205a6834dcd9fa41beb8ea460335e_PLSA0009E1EC_20240313110943376275_ldtmQ3cc03.json', 'error_s3_filepath': 'Perfios/Logging/dfe205a6834dcd9fa41beb8ea460335e_PLSA0009E1EC/dfe205a6834dcd9fa41beb8ea460335e_PLSA0009E1EC_20240313110943376275_ldtmQ3cc03.txt', 'run_id': 'ldtmQ3cc03', 'bucket_name': 'bsa-service', 'filepath': 'Perfios/YTP/dfe205a6834dcd9fa41beb8ea460335e_PLSA0009E1EC.json', 'formatted_timestamp': '20240313110943376275'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logs_BSA_2024_03_13_16_40_32_651463,2024-03-13 16:40:32:651463,2024-03-13 16:40:34:225938,0:0:1:574:475,Success,Job completed successfully,Databricks,Logging for BSA,"{'Status': 'BSA Pass', 'Payload_Data': {'source_system': 'Perfios', 'doc_id': '52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091', 'processed_s3_filepath': 'Perfios/Processed/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091_20240313111032392054_o2ZGenBOxl.json', 'success_s3_filepath': 'Perfios/Success/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091_20240313111032392054_o2ZGenBOxl.json', 'failure_s3_filepath': 'Perfios/Failure/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091_20240313111032392054_o2ZGenBOxl.json', 'error_s3_filepath': 'Perfios/Logging/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091_20240313111032392054_o2ZGenBOxl.txt', 'run_id': 'o2ZGenBOxl', 'bucket_name': 'bsa-service', 'filepath': 'Perfios/YTP/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091.json', 'formatted_timestamp': '20240313111032392054'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logs_BSA_2024_03_13_16_40_35_286309,2024-03-13 16:40:35:286309,2024-03-13 16:40:36:793628,0:0:1:507:319,Success,Job completed successfully,Databricks,Logging for BSA,"{'Status': 'BSA Pass', 'Payload_Data': {'source_system': 'Perfios', 'doc_id': '52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091', 'processed_s3_filepath': 'Perfios/Processed/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091_20240313111035132427_eWYUQMU5Wp.json', 'success_s3_filepath': 'Perfios/Success/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091_20240313111035132427_eWYUQMU5Wp.json', 'failure_s3_filepath': 'Perfios/Failure/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091_20240313111035132427_eWYUQMU5Wp.json', 'error_s3_filepath': 'Perfios/Logging/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091_20240313111035132427_eWYUQMU5Wp.txt', 'run_id': 'eWYUQMU5Wp', 'bucket_name': 'bsa-service', 'filepath': 'Perfios/YTP/52b14a1aaa33fd36b357bfa8c016d093_SCUBL002D091.json', 'formatted_timestamp': '20240313111035132427'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logs_BSA_2024_03_13_16_40_55_694750,2024-03-13 16:40:55:694750,2024-03-13 16:40:58:525888,0:0:2:831:138,Success,Job completed successfully,Databricks,Logging for BSA,"{'Status': 'BSA Pass', 'Payload_Data': {'source_system': 'Perfios', 'doc_id': '9a83ba27b00efa6c078db96f924ae7d3_PLSA0009DC90', 'processed_s3_filepath': 'Perfios/Processed/9a83ba27b00efa6c078db96f924ae7d3_PLSA0009DC90/9a83ba27b00efa6c078db96f924ae7d3_PLSA0009DC90_20240313111055386837_fOsZQwVoGd.json', 'success_s3_filepath': 'Perfios/Success/9a83ba27b00efa6c078db96f924ae7d3_PLSA0009DC90/9a83ba27b00efa6c078db96f924ae7d3_PLSA0009DC90_20240313111055386837_fOsZQwVoGd.json', 'failure_s3_filepath': 'Perfios/Failure/9a83ba27b00efa6c078db96f924ae7d3_PLSA0009DC90/9a83ba27b00efa6c078db96f924ae7d3_PLSA0009DC90_20240313111055386837_fOsZQwVoGd.json', 'error_s3_filepath': 'Perfios/Logging/9a83ba27b00efa6c078db96f924ae7d3_PLSA0009DC90/9a83ba27b00efa6c078db96f924ae7d3_PLSA0009DC90_20240313111055386837_fOsZQwVoGd.txt', 'run_id': 'fOsZQwVoGd', 'bucket_name': 'bsa-service', 'filepath': 'Perfios/YTP/9a83ba27b00efa6c078db96f924ae7d3_PLSA0009DC90.json', 'formatted_timestamp': '20240313111055386837'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logs_BSA_2024_03_13_16_41_24_102294,2024-03-13 16:41:24:102294,2024-03-13 16:41:27:716841,0:0:3:614:547,Success,Job completed successfully,Databricks,Logging for BSA,"{'Status': 'BSA Pass', 'Payload_Data': {'source_system': 'Perfios', 'doc_id': '2ce82ced0f2bf4e61e18dcfabce494d7_BLSA0002D291', 'processed_s3_filepath': 'Perfios/Processed/2ce82ced0f2bf4e61e18dcfabce494d7_BLSA0002D291/2ce82ced0f2bf4e61e18dcfabce494d7_BLSA0002D291_20240313111123805138_URxKUeRokR.json', 'success_s3_filepath': 'Perfios/Success/2ce82ced0f2bf4e61e18dcfabce494d7_BLSA0002D291/2ce82ced0f2bf4e61e18dcfabce494d7_BLSA0002D291_20240313111123805138_URxKUeRokR.json', 'failure_s3_filepath': 'Perfios/Failure/2ce82ced0f2bf4e61e18dcfabce494d7_BLSA0002D291/2ce82ced0f2bf4e61e18dcfabce494d7_BLSA0002D291_20240313111123805138_URxKUeRokR.json', 'error_s3_filepath': 'Perfios/Logging/2ce82ced0f2bf4e61e18dcfabce494d7_BLSA0002D291/2ce82ced0f2bf4e61e18dcfabce494d7_BLSA0002D291_20240313111123805138_URxKUeRokR.txt', 'run_id': 'URxKUeRokR', 'bucket_name': 'bsa-service', 'filepath': 'Perfios/YTP/2ce82ced0f2bf4e61e18dcfabce494d7_BLSA0002D291.json', 'formatted_timestamp': '20240313111123805138'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logs_BSA_2024_03_13_16_41_38_328533,2024-03-13 16:41:38:328533,2024-03-13 16:41:40:953034,0:0:2:624:501,Success,Job completed successfully,Databricks,Logging for BSA,"{'Status': 'BSA Pass', 'Payload_Data': {'source_system': 'Perfios', 'doc_id': '6e453a817dbbb1f3e0ee7139a16d5e25_PLSA0009E0E3', 'processed_s3_filepath': 'Perfios/Processed/6e453a817dbbb1f3e0ee7139a16d5e25_PLSA0009E0E3/6e453a817dbbb1f3e0ee7139a16d5e25_PLSA0009E0E3_20240313111138060999_1YXD4YHPKV.json', 'success_s3_filepath': 'Perfios/Success/6e453a817dbbb1f3e0ee7139a16d5e25_PLSA0009E0E3/6e453a817dbbb1f3e0ee7139a16d5e25_PLSA0009E0E3_20240313111138060999_1YXD4YHPKV.json', 'failure_s3_filepath': 'Perfios/Failure/6e453a817dbbb1f3e0ee7139a16d5e25_PLSA0009E0E3/6e453a817dbbb1f3e0ee7139a16d5e25_PLSA0009E0E3_20240313111138060999_1YXD4YHPKV.json', 'error_s3_filepath': 'Perfios/Logging/6e453a817dbbb1f3e0ee7139a16d5e25_PLSA0009E0E3/6e453a817dbbb1f3e0ee7139a16d5e25_PLSA0009E0E3_20240313111138060999_1YXD4YHPKV.txt', 'run_id': '1YXD4YHPKV', 'bucket_name': 'bsa-service', 'filepath': 'Perfios/YTP/6e453a817dbbb1f3e0ee7139a16d5e25_PLSA0009E0E3.json', 'formatted_timestamp': '20240313111138060999'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logs_BSA_2024_03_13_16_41_56_302438,2024-03-13 16:41:56:302438,2024-03-13 16:41:58:041441,0:0:1:739:3,Success,Job completed successfully,Databricks,Logging for BSA,"{'Status': 'BSA Pass', 'Payload_Data': {'source_system': 'Perfios', 'doc_id': '786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE', 'processed_s3_filepath': 'Perfios/Processed/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE_20240313111156082054_Z00y8nGsSm.json', 'success_s3_filepath': 'Perfios/Success/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE_20240313111156082054_Z00y8nGsSm.json', 'failure_s3_filepath': 'Perfios/Failure/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE_20240313111156082054_Z00y8nGsSm.json', 'error_s3_filepath': 'Perfios/Logging/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE_20240313111156082054_Z00y8nGsSm.txt', 'run_id': 'Z00y8nGsSm', 'bucket_name': 'bsa-service', 'filepath': 'Perfios/YTP/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE.json', 'formatted_timestamp': '20240313111156082054'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logs_BSA_2024_03_13_16_41_58_546544,2024-03-13 16:41:58:546544,2024-03-13 16:42:00:231306,0:0:1:684:762,Success,Job completed successfully,Databricks,Logging for BSA,"{'Status': 'BSA Pass', 'Payload_Data': {'source_system': 'Perfios', 'doc_id': '3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0', 'processed_s3_filepath': 'Perfios/Processed/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0_20240313111158419054_24uC4T06EU.json', 'success_s3_filepath': 'Perfios/Success/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0_20240313111158419054_24uC4T06EU.json', 'failure_s3_filepath': 'Perfios/Failure/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0_20240313111158419054_24uC4T06EU.json', 'error_s3_filepath': 'Perfios/Logging/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0_20240313111158419054_24uC4T06EU.txt', 'run_id': '24uC4T06EU', 'bucket_name': 'bsa-service', 'filepath': 'Perfios/YTP/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0.json', 'formatted_timestamp': '20240313111158419054'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logs_BSA_2024_03_13_16_42_00_847642,2024-03-13 16:42:00:847642,2024-03-13 16:42:02:631530,0:0:1:783:888,Success,Job completed successfully,Databricks,Logging for BSA,"{'Status': 'BSA Pass', 'Payload_Data': {'source_system': 'Perfios', 'doc_id': '786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE', 'processed_s3_filepath': 'Perfios/Processed/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE_20240313111200718415_AjwaF5JB2t.json', 'success_s3_filepath': 'Perfios/Success/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE_20240313111200718415_AjwaF5JB2t.json', 'failure_s3_filepath': 'Perfios/Failure/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE_20240313111200718415_AjwaF5JB2t.json', 'error_s3_filepath': 'Perfios/Logging/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE_20240313111200718415_AjwaF5JB2t.txt', 'run_id': 'AjwaF5JB2t', 'bucket_name': 'bsa-service', 'filepath': 'Perfios/YTP/786d5a68d5f8767af788b6a694d5e735_SCUBL002C8BE.json', 'formatted_timestamp': '20240313111200718415'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logs_BSA_2024_03_13_16_42_03_751220,2024-03-13 16:42:03:751220,2024-03-13 16:42:05:441962,0:0:1:690:742,Success,Job completed successfully,Databricks,Logging for BSA,"{'Status': 'BSA Pass', 'Payload_Data': {'source_system': 'Perfios', 'doc_id': '3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0', 'processed_s3_filepath': 'Perfios/Processed/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0_20240313111203618388_hXkv5UMXLa.json', 'success_s3_filepath': 'Perfios/Success/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0_20240313111203618388_hXkv5UMXLa.json', 'failure_s3_filepath': 'Perfios/Failure/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0_20240313111203618388_hXkv5UMXLa.json', 'error_s3_filepath': 'Perfios/Logging/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0_20240313111203618388_hXkv5UMXLa.txt', 'run_id': 'hXkv5UMXLa', 'bucket_name': 'bsa-service', 'filepath': 'Perfios/YTP/3c8d68f6eeb234a1242b425c46fcb4d9_PLSA0009E1E0.json', 'formatted_timestamp': '20240313111203618388'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
